,delta_M,delta_F
200,0.567363111,0.784039352
201,0.673412447,0.77859501
202,0.831102375,0.824703542
203,0.026124075,0.220080347
204,0.621025142,0.805354836
205,0.575083067,0.731040461
206,0.222100943,0.367464991
207,0.545889531,0.504570023
208,0.853629098,0.857092798
209,0.729368873,0.499489207
210,0.373693142,0.630181723
211,0.846469822,0.852602316
212,1.586826497,1.599386372
213,0.510058022,0.608408302
214,0.692671776,0.806336337
215,0.476529278,0.599044401
216,0.630708324,0.989044098
217,0.736541869,0.864141929
218,0.593322461,0.915846938
219,0.983970426,1.17198198
220,1.007546944,1.25756396
221,0.639673387,0.606837844
222,1.210642232,1.2824948
223,0.593101693,0.4625976
224,0.901010331,0.83584394
225,0.971170595,1.07386882
226,0.258793085,0.372661909
227,0.724612123,0.796606706
228,0.815420228,0.828072838
229,0.909910263,0.882979946
230,0.706084832,0.620042781
231,0.513802007,0.866122862
232,0.836116587,0.921423394
233,0.210396624,0.180927748
234,0.922589177,0.962122444
235,0.71099332,0.747610272
236,0.478798556,0.383791412
237,0.94892529,1.125224296
238,0.78305631,0.735311739
239,0.75564581,0.691713616
240,0.76776248,0.564256475
241,0.370160771,0.489912828
242,0.837248325,0.898895669
243,0.51383515,0.588933145
244,0.717014493,0.558097704
245,0.044901529,0.204536219
246,0.631272329,0.950700106
247,0.588637809,0.60706591
248,1.00882108,1.190269275
249,0.320817197,0.737660558
250,0.463541718,0.420472186
251,0.227370363,0.061441342
252,1.050075089,0.829456684
253,-0.002661561,0.569017991
254,1.26717296,1.518816009
255,0.881363125,0.86799668
256,0.984915771,0.891222688
257,0.798831003,0.807624233
258,0.655908128,0.932874799
259,0.223911152,0.42925798
260,0.88534541,0.963186718
261,0.874693693,0.950149593
262,1.831766193,1.528308104
263,0.617874106,0.52969477
264,1.36039007,1.500153909
265,0.507856529,0.534473197
266,1.163177736,1.156266485
267,1.079477027,1.030326878
268,0.863675444,1.101006487
269,0.866362291,1.10929551
270,0.782853181,0.531825936
271,1.064062581,1.422130464
272,0.347507183,0.865405359
273,0.493812383,0.870993543
274,1.098932688,1.158186645
275,0.369651762,0.598266112
276,0.54236786,0.581893285
277,1.109321188,1.084171375
278,0.623926846,0.532307074
279,0.432415518,0.614116508
